Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-171,45,-0.4609,-0.3145,-0.3529,-0.2363,-0.0134,-0.7204,-0.5907,0.5003,0.0056,0.3666,0.7918,-0.0783,-0.1891,-0.518,0.2652,0.5453,0.6769,0.4337,0.8507,0.4045,-0.1487
-171,17,-0.1461,-0.1961,0.1002,-0.3205,-0.2299,0.0012,0.1173,-0.0869,-0.2474,0.0374,0.239,-0.4862,-0.1943,0.1911,0.2942,0.0974,-0.0229,-0.1842,-0.0699,0.5268,0.3806
-171,43,-0.4592,-0.3332,-0.4477,-0.2422,-0.2123,-1.0631,-0.7231,0.545,-0.153,0.1584,0.3408,-0.2903,-0.2268,-0.6037,0.1313,0.5699,0.4846,0.4032,0.958,0.1499,-0.3697
-171,3,0.3191,0.2062,0.4104,0.502,-0.5018,0.7207,-0.489,0.9392,0.793,0.6525,0.3245,-0.6214,-0.3031,0.9995,0.696,0.2512,-0.079,-0.3441,0.0421,1.1693,0.3302
-171,15,-0.0953,-0.0773,0.0235,-0.1868,-0.2833,0.1074,0.0512,0.0256,-0.1762,0.0198,0.2946,-0.5665,-0.311,0.1391,0.2183,0.0285,-0.1732,-0.3337,-0.1345,0.5738,0.3135
-171,-89,-0.4664,-0.1041,0.6068,-0.6995,0.0152,-0.8782,0.3141,0.2663,-0.3346,-0.5892,-0.0091,-0.7758,-0.3939,0.3163,0.1399,-0.0073,0.5664,0.6969,0.6718,0.4418,0.4396
-171,-87,-0.4664,-0.1041,0.6068,-0.6995,0.0152,-0.8782,0.3141,0.2663,-0.3346,-0.5892,-0.0091,-0.7758,-0.3939,0.3163,0.1399,-0.0073,0.5664,0.6969,0.6718,0.4418,0.4396
-171,-85,-0.4664,-0.1041,0.6068,-0.6995,0.0152,-0.8782,0.3141,0.2663,-0.3346,-0.5892,-0.0091,-0.7758,-0.3939,0.3163,0.1399,-0.0073,0.5664,0.6969,0.6718,0.4418,0.4396
-171,-83,-0.4664,-0.1041,0.6068,-0.6995,0.0152,-0.8782,0.3141,0.2663,-0.3346,-0.5892,-0.0091,-0.7758,-0.3939,0.3163,0.1399,-0.0073,0.5664,0.6969,0.6718,0.4418,0.4396
-171,1,0.3488,0.2209,0.3823,0.4826,-0.7439,0.8459,-0.7749,0.9101,0.82,0.5671,0.2932,-0.876,-0.4679,1.1341,0.674,0.1404,-0.2497,-0.4604,-0.0401,1.2815,0.2085
-171,-1,0.4423,0.1802,0.3114,0.3786,-0.6856,0.8556,-0.8396,0.6365,0.768,0.4918,0.2717,-0.7134,-0.5693,1.0262,0.5642,0.1045,-0.332,-0.4877,-0.098,1.1801,0.3162
-173,29,0.2854,-0.4171,-0.45,-0.4606,0.3527,-0.162,0.4851,0.2008,-0.5758,0.183,-0.1379,0.7506,1.2455,0.3279,0.2986,0.5806,0.7774,0.8474,0.8739,0.3272,0.5174
-173,31,0.1972,-0.4059,-0.4361,-0.3557,0.3908,-0.2571,0.5845,0.4547,-0.5798,0.1171,-0.3431,0.8554,1.1929,0.3037,0.3821,0.4983,0.6731,0.8748,0.7994,0.2392,0.4444
